               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 126,            0.044632,            0.066298,           0.0078296,             0.53225,              0.4386,             0.44354,             0.19758,            0.047865,             0.02482,           0.0064409,            0.005875,            0.005875,            0.005875
                 127,            0.044575,             0.06587,           0.0077344,              0.5084,             0.43763,             0.44219,             0.19175,            0.048298,            0.024852,            0.006997,            0.005842,            0.005842,            0.005842
                 128,            0.044505,            0.064594,           0.0081647,             0.62727,             0.36553,              0.4549,              0.1894,            0.047822,            0.025026,           0.0082221,            0.005809,            0.005809,            0.005809
                 129,            0.044565,            0.063075,           0.0075509,             0.50394,             0.43376,             0.44746,               0.174,            0.048187,            0.025155,           0.0078816,            0.005776,            0.005776,            0.005776
                 130,            0.045146,            0.064996,           0.0072438,             0.49946,             0.46592,              0.4409,             0.17863,            0.047805,            0.025138,           0.0070998,            0.005743,            0.005743,            0.005743
                 131,            0.044332,            0.065433,           0.0074105,             0.54175,             0.46057,             0.44813,             0.18884,            0.048236,             0.02487,           0.0072714,             0.00571,             0.00571,             0.00571
                 132,            0.044768,            0.067999,           0.0071224,             0.50497,             0.45664,             0.43371,             0.18708,            0.047939,            0.024531,           0.0081298,            0.005677,            0.005677,            0.005677
                 133,            0.044089,            0.065195,           0.0082939,             0.60289,             0.47683,             0.51108,             0.20432,             0.04764,            0.024908,           0.0072094,            0.005644,            0.005644,            0.005644
                 134,            0.044306,            0.064489,           0.0079165,             0.60857,             0.43433,             0.47201,             0.19235,            0.048557,            0.025236,            0.008519,            0.005611,            0.005611,            0.005611
                 135,            0.044864,            0.065595,           0.0072923,             0.56079,             0.44694,             0.43998,             0.18875,            0.048674,            0.025144,           0.0088152,            0.005578,            0.005578,            0.005578
                 136,            0.044498,             0.06861,           0.0074498,             0.58355,             0.47085,             0.47259,             0.19488,             0.04886,            0.024561,           0.0080745,            0.005545,            0.005545,            0.005545
                 137,            0.044019,            0.065329,           0.0069635,             0.53775,             0.46674,             0.44793,             0.19107,            0.048607,            0.024818,           0.0078538,            0.005512,            0.005512,            0.005512
                 138,            0.044049,             0.06686,           0.0072778,             0.69556,              0.3619,             0.46053,             0.18874,            0.048234,            0.025181,           0.0084682,            0.005479,            0.005479,            0.005479
                 139,            0.044054,            0.063552,             0.00798,             0.72955,             0.46181,             0.48806,             0.19451,            0.049543,            0.024896,            0.008501,            0.005446,            0.005446,            0.005446
                 140,            0.043782,            0.064241,           0.0066812,             0.55464,             0.43625,             0.49694,             0.20337,            0.048304,            0.025403,            0.007378,            0.005413,            0.005413,            0.005413
                 141,            0.043865,            0.065395,           0.0071232,             0.57553,             0.41339,             0.43372,             0.18084,            0.048244,            0.025488,           0.0074651,             0.00538,             0.00538,             0.00538
                 142,            0.044485,            0.065314,           0.0074317,             0.56537,             0.45179,             0.45421,             0.20319,            0.047969,            0.025201,           0.0075101,            0.005347,            0.005347,            0.005347
                 143,            0.044275,            0.064678,           0.0076132,             0.51151,             0.48771,             0.45126,              0.1857,            0.047839,            0.025118,           0.0071202,            0.005314,            0.005314,            0.005314
                 144,            0.043456,            0.063587,            0.006947,              0.5558,             0.42069,             0.46613,               0.196,            0.047838,             0.02558,           0.0075744,            0.005281,            0.005281,            0.005281
                 145,            0.044258,            0.067037,           0.0064356,              0.6339,             0.39191,             0.45718,             0.19217,            0.048519,            0.024969,           0.0088587,            0.005248,            0.005248,            0.005248
                 146,            0.043778,            0.064451,           0.0072655,             0.73568,              0.4172,              0.4812,             0.19997,            0.048443,             0.02515,           0.0084431,            0.005215,            0.005215,            0.005215
                 147,             0.04371,            0.065974,           0.0067001,             0.62622,              0.4566,              0.4926,             0.19373,            0.048139,            0.025204,           0.0082804,            0.005182,            0.005182,            0.005182
                 148,            0.043328,            0.064371,           0.0069738,              0.5785,             0.50879,             0.51888,             0.21703,            0.048162,            0.025043,           0.0078459,            0.005149,            0.005149,            0.005149
                 149,            0.043919,            0.063172,            0.006611,             0.66501,             0.44863,             0.48373,             0.19323,            0.048442,            0.025048,           0.0088384,            0.005116,            0.005116,            0.005116
                 150,              0.0433,            0.064545,           0.0067273,             0.57101,             0.43567,              0.4629,             0.19669,            0.048473,            0.024641,           0.0081916,            0.005083,            0.005083,            0.005083
                 151,            0.043925,            0.065674,           0.0066727,             0.63655,             0.43386,             0.44634,             0.18785,            0.049453,            0.024498,           0.0080054,             0.00505,             0.00505,             0.00505
                 152,            0.043369,            0.063292,           0.0070142,             0.61685,             0.42655,             0.47501,             0.20315,            0.048888,            0.025068,           0.0071032,            0.005017,            0.005017,            0.005017
                 153,            0.043454,            0.061935,           0.0065679,             0.75388,             0.46121,             0.51615,             0.20666,            0.048445,            0.024983,           0.0080745,            0.004984,            0.004984,            0.004984
                 154,            0.043191,            0.064163,           0.0068219,             0.64479,             0.37423,             0.44788,             0.18804,            0.048441,            0.024901,           0.0081513,            0.004951,            0.004951,            0.004951
                 155,             0.04317,            0.063185,           0.0075078,             0.49972,              0.5083,             0.48166,             0.19526,             0.04839,             0.02494,           0.0090777,            0.004918,            0.004918,            0.004918
                 156,            0.043439,            0.061922,           0.0073012,             0.62017,              0.4831,             0.50267,             0.21143,            0.048559,            0.025211,           0.0082608,            0.004885,            0.004885,            0.004885
                 157,            0.042789,            0.063659,           0.0063453,             0.69541,             0.46738,             0.50295,             0.21672,            0.048587,            0.025506,           0.0083068,            0.004852,            0.004852,            0.004852
                 158,            0.044129,            0.065615,           0.0070456,             0.68777,              0.4894,             0.49834,             0.21409,            0.048268,            0.024943,           0.0073329,            0.004819,            0.004819,            0.004819
